"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_63a41a8c","Стуков с довольной ухмылкой зашел в комнату, обращая на себя внимание громким кашлем.","","","","",""
"A """"","A_f139fde1","Доброе утро, спящая... красавица!","","","","",""
"S """"","S_4cc45d6b","У этого утра был шанс, пока ты не появился.","","","","",""
"A """"","A_a3799ab8","Как грубо... Кхм, у меня, вообще-то, для тебя радостные новости!","","","","",""
"S """"","S_d1077381","Разве новости могут быть хорошими с утра?","","","","",""
"A """"","A_1c33fe6f","Если тебя вызывает Владычица, то новость обязана быть хорошей. Она никогда не вызывает просто так, хе-хе.","","","","",""
"S """"","S_9f94605b","Владычица? С чего бы ей вызывать меня?","","","","",""
"S """"","S_80c16769","Конечно, если только ты не рассказал ей что-то. Только в этом случае она захотела бы меня видеть... Так ведь?","","","","",""
"A """"","A_faaf28c1","Конечно, я немного похвалил тебя! Рассказал о твоих недавних... достижениях.","","","","",""
"S """"","S_3cebdd6c","Разговор, видимо, предстоит очень интересный...","","","","",""
"Q """"","Q_87fd2080","И снова здравствуй, терран! Теперь же я рада видеть тебя.","","","","",""
"""""","narrator_575ae123","От пристального взгляда Владычицы по телу Сары пробежала дрожь.","","","","",""
"S """"","S_2524659e","Взаимно?","","","","",""
"""""","narrator_439168cf","Сара неуверенно опустила глаза вниз, пытаясь сбежать от зрительного контакта с Владычицей. Этот взгляд больше не был угрожающим, но то, с какой страстью в глазах Владычица смотрела на девушку, заставляло чувствовать себя неловко.","","","","",""
"""""","narrator_e19e5b85","Владычица молча подозвала Сару к себе, не давая ей возможности сопротивляться. Ее глаза сверкали красным, не позволяя даже думать о сопротивлении.","","","","",""
"S """"","S_e8623821","(Черт... Она снова управляет мной! Я не могу сдаться ей просто так!)","","","","",""
"""""","narrator_b653f68c","Сара с большим усилием смогла остановиться за пару шагов до Владычицы, смотря ей прямо в глаза. Глаза Владычицы вернули обычный цвет.","","","","",""
"Q """"","Q_d26aee0b","Что ж... Это впечатляет! Ммм, возможно даже лучше, чем я себе могла представить!","","","","",""
"Q """"","Q_efbe58aa","К невероятному упорству добавилась еще и сила! Ах, это безумный коктейль.","","","","",""
"Q """"","Q_7c423de1","С нашей последней встречи ты сильно изменилась... Этот новый огонек в глазах не может меня не радовать!","","","","",""
"""""","narrator_5eb82323","Чем дольше Владычица смотрела на Сару, тем шире становилась ее улыбка. Она рассматривала девушку, будто это было самое искусное творение, вышедшее из-под ее пера.","","","","",""
"""""","narrator_cae59833","Владычица резко подняла Сару за подбородок, рассматривая ее лицо снова и снова.","","","","",""
"Q """"","Q_1dd5d72e","Неужели ты действительно ТА, которую ОН искал...","","","","",""
"S """"","S_e9e1647f","...","","","","",""
"""""","narrator_658fbc1a","Владычица провела тыльной стороной ладони по щеке Сары, наслаждаясь эмоциями, сменяющими друг друга на лице девушки.","","","","",""
"Q """"","Q_08f6e2ed","Да... Ты все еще боишься, но я уже могу почувствовать эту силу! Больше нет этого слабого и хрупкого террана, которого я увидела в первый раз!","","","","",""
"Q """"","Q_5899a263","Ты зашла так далеко! Превзошла все ожидания, которые я предсказывала! Но твое тело сдерживает твой потенциал, жалкая человеческая плоть, обременяющая твой несоизмеримый потенциал!","","","","",""
"Q """"","Q_fdaa4026","Я и подумать не могла, что ты дойдешь до этого момента, ты первый терран, который так близок к величию!","","","","",""
"Q """"","Q_b2593dac","Но теперь я вижу, что ты способна на большее! Было бы большим упущением сломать твою шею при первом же знакомстве и я хочу извиниться за мою грубость. Твой строптивый характер, кажется, придает тебе особую изюминку.","","","","",""
"S """"","S_1bed2947","(Строптивый характер? Интересно, как я тогда должна была поступить, когда мне угрожала опасность... Просто смириться?)","","","","",""
"S """"","S_ece0f9d9","А что не так с моим телом?","","","","",""
"""""","narrator_c03a6b1f","Владычица отпустила Сару, рассматривая теперь ее с ног до головы. Девушка не могла упустить то восхищение, с которым ее осматривали. Но было в этом взгляде и нотка недовольства. Что-то не устраивало Владычицу в том теле, что было перед ней.","","","","",""
"Q """"","Q_d732ec5d","Ты можешь больше, чем ты себе когда-либо представляла... Теперь я это вижу.","","","","",""
"Q """"","Q_97e25255","Я вижу, как меркнут звезды, покорившиеся твоей силе, я вижу целые цивилизации которые трепещут, только лишь услышав твое имя. Я вижу, как другие цивилизации поклоняются тебе как божеству, я все это вижу.","","","","",""
"Q """"","Q_9582d7f6","Но твое тело не позволяет тебе открыть ВЕСЬ свой потенциал! Оно не способно быть вместилищем той силы, что рвется из тебя! Возможно, его хватало, чтобы дать тебе эту ничтожную каплю силу, но теперь пришло время перемен!","","","","",""
"Q """"","Q_08040b95","Ты должна отказаться от своей хрупкой оболочки! Только изменив ее, ты сможешь открыть для себя новые возможности. Только с новым телом ты позволишь врагам узнать, что их ждет за твое предательство!","","","","",""
"S """"","S_6ab365b2","Но что именно меня ждет? Что будет с моим телом?","","","","",""
"Q """"","Q_ab0b95d8","Оно станет совершенным! Ты эволюционируешь до более развитого, могучего существа, ранее не виданного в этом мире! Которому будет подвластно осуществить его планы!","","","","",""
"S """"","S_f49cbcbe","Но эта сила... это также бремя...","","","","",""
"Q """"","Q_d9538c53","Этого не нужно бояться, это совсем не страшно. Скорее это прекрасно! Ты словно бабочка, которая превратится из гусеницы в нечто большее!","","","","",""
"Q """"","Q_bae6d8c0","Эти изменения даются нелегко, но ты знаешь, что стоит на кону. Эта сила поможет тебе одолеть твоих врагов.","","","","",""
"Q """"","Q_6db6c33b","Этот терран, Менгск... разве он тебя не предал, разве ты не хочешь ему отомстить? Он забрал у тебя все, он разрушил твою жизнь.","","","","",""
"Q """"","Q_f69551ea","Разве игра не стоит свеч?","","","","",""
"""""","narrator_9d3e429d","В глазах у Владычицы не было ни грамма сомнения. Слушая ее рассказ, Сара и сама невольно стала представлять, какие возможности могут открыться перед ней, если она решится.","","","","",""
"Q """"","Q_d5eec9b6","Ты прошла весь этот путь, чтобы остановиться? И ты дашь ему уйти безнаказанным после того, как он использовал тебя и потом бросил?","","","","",""
"""""","narrator_6c132c03","Резкий вопрос Владычицы заставил Сару вздрогнуть. В какой-то момент ей стало стыдно за то, что она могла позволить себе мысли об остановке.","","","","",""
"S """"","S_8c768cd2","Нет... Я не могу остановиться. Только не сейчас!","","","","",""
"""""","narrator_207f3fde","От решительного ответа Сары создалось впечатление, будто Владычица получила волну экстаза.","","","","",""
"Q """"","Q_b14d1e4c","А-а-а-а-ах...","","","","",""
"Q """"","Q_2b13a0e3","Да-а-а-аа!!!","","","","",""
"Q """"","Q_8885f496","Это именно то, что я хотела услышать от тебя! Не подводи меня, Сара. Ты можешь оправдать НАШИ и свои надежды сполна. Тебе стоит лишь немного приложить к этому усилий!","","","","",""
"Q """"","Q_c7df9396","Ты уже доказала, что можешь быть сильным псиоником. Но между 'можешь' и 'быть' все еще есть грань, которую тебе еще предстоит переступить.","","","","",""
"Q """"","Q_9c2c9431","Я верю, что ты не подведешь меня.","","","","",""
"""""","narrator_7ce0afc8","Сара машинально кивнула, будто давая негласное обещание Владычице. Она все еще смутно понимала, что ей предстоит пережить, но точно знала, что это было чем-то важным и нужным. Не только для нее, но и для остального Роя.","","","","",""
"S """"","S_5653562f","(Все зашло, действительно, слишком далеко. Неужели я стану частью чего-то большего? Никогда бы не подумала, что мой потенциал заметят в таком месте...)","","","","",""
"Q """"","Q_3e2dfba6","Вы можете идти. Стуков отведет тебя к Абатуру, чтобы он смог как следуют проверить и... подготовить тебя.","","","","",""
"""""","narrator_b316cf21","Стуков и Сара почти дошли до самого выхода, но уйти им не дал приказной тон Владычицы","","","","",""
"Q """"","Q_df9a57b0","Стуков! Как только закончишь, незамедлительно приходи ко мне, у меня есть для тебя задание... Все эти разговоры хорошенько завели меня, я прямо пылаю.","","","","",""
"Aside3 """"","Aside3_953b82b6","Я могу хоть сейчас, хе-хе.","","","","",""
"S """"","S_eae93e0a","А???","","","","",""
"Q """"","Q_8c115c31","Нет-нет, я смогу подождать. Вам стоит сначала закончить ВСЕ ваши дела, чтобы уделить мне ОСОБОЕ внимание. Я разошлась не на шутку, так что нам потребуется куда больше времени.","","","","",""
"Aside8 """"","Aside8_c1e4fd2c","Все... настолько серьезно?","","","","",""
"Q """"","Q_4bb3aaec","Серьезнее, чем только можно представить! Тебе придется очень профессионально поработать, чтобы в полном объеме удовлетворить меня.","","","","",""
"Aside2 """"","Aside2_4b8e6d42","Тогда время для того самого?","","","","",""
"Q """"","Q_2ce4aa83","Именно.","","","","",""
"Aside3 """"","Aside3_709583da","Хех... ваш приказ закон для меня.","","","","",""
"Aside11 """"","Aside11_3b1ca0b7","Одна нога здесь, другая тоже здесь!","","","","",""
"S """"","S_c23d7e71","Что это вообще было только что?","","","","",""
"A """"","A_6b17ece0","Хех, знаешь, в таком состоянии я ее вижу очень редко. Видимо, она действительно завелась не на шутку.","","","","",""
"S """"","S_57713a11","Из-за нашего разговора?","","","","",""
"A """"","A_91a35890","Именно, для нее это нечто большее, чем ты можешь представить.","","","","",""
"S """"","S_04926a0f","А...{w} о чем была речь, когда ты говорил ‘время для того самого’?","","","","",""
"C """"","C_116c1cf1","(Лучше тебе не знать...)","","","","",""
"A """"","A_1a9d73c4","Хех, а Сай'мон шарящий парень, лучше тебе действительно этого не знать!","","","","",""
"S """"","S_f54c1299","!!!","","","","",""
"S """"","S_cb6e1627","И ты знаешь об этом?","","","","",""
"C """"","C_c427c61f","(Конечно знаю, я все знаю.)","","","","",""
