location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_d3f95652,"Тело и разум Королевы Клинков были очень слабы после всех пережитых испытаний. Ее посещали мысли только о получении пищи, даже если бы ее пришлось добывать самым аморальным способом.",,,,,,"""%%"""
,narrator_ae048b32,"Девушка блуждала по кораблю, не имея определенных ориентиров. В ее голове, как мантра, звучал призыв поесть, раздражая и без того пустой желудок.",,,,,,"""%%"""
,S1_60717a36,Есть...{w} Я так хочу есть...,,,,,,"S1 ""%%"""
,S1_e50de630,Почему здесь нет никого...{w} мне нужно подкрепиться...{w} чем бы я могла подкрепиться?,,,,,,"S1 ""%%"""
,S1_b78b80be,Или это и есть естественный отбор?,,,,,,"S1 ""%%"""
,narrator_6db3aa5e,"Королева Клинков старалась прислушиваться к окружению, чтобы понимать, в каком направлении двигаться. Она хотела воспользоваться пси-силой и найти путь, по которому ей следовало бы двигаться, но постоянные мысли о голоде не давали сконцентрироваться.",,,,,,"""%%"""
,S1_f2ff3343,"Арг... Почему тут столько коридоров? Сколько еще я должна пройти, чтобы найти хоть что-то?",,,,,,"S1 ""%%"""
,S1_cf73dfd3,От этих пеших прогулок голод и слабость только усиливаются! И почему всплеск энергии после пробуждения так быстро исчез?.. Чувствовать себя слабой так отвратительно.,,,,,,"S1 ""%%"""
,narrator_75d0f280,"Королева Клинков продолжала попытки найти кого-то с помощью пси-силы, только больше утомляя себя. Это ее сильно раздражало, но это раздражение и заставляло девушки уперто искать дальше.",,,,,,"""%%"""
,S1_5d66ded9,(Я... Чувствую кого-то. Чье-то отчетливое присутствие всего через пару поворотов. Неужели нашлось что-то полезное?),,,,,,"S1 ""%%"""
,narrator_3e7fb2c3,"Девушка шла дальше по коридорам, ориентируясь на ощущение другого существа в своем окружении.",,,,,,"""%%"""
,A_07521d66,"Стоит в ближайшее время навестить Сару и узнать, связан ли всплеск пси-силы с ее превращением...",,,,,,"A ""%%"""
,S1_02db2c97,(Где же ты? Не заставляй меня охотиться на тебя слишком долго. Я уже успела достаточно нагулять аппетит.),,,,,,"S1 ""%%"""
,narrator_a34132a9,"Вдалеке раздавались шаги, привлекшие к себе внимание девушки. ",,,,,,"""%%"""
,S1_7bd67ef3,Наконец-то...,,,,,,"S1 ""%%"""
,narrator_02b10dbe,Ощущение добычи совсем близко заставило Королеву Клинков взбодриться и быстрее двигаться к своей жертве.,,,,,,"""%%"""
,A_aba1a009,"Нужно поторопиться, нельзя пропустить такой момент.",,,,,,"A ""%%"""
,narrator_8eac53b3,"Девушка искала того, кто разговаривал сам с собой. Королева Клинков не совсем понимала, о чем идет речь и кто ведет этот разговор, но она точно знала, что он ей поможет утолить голод.",,,,,,"""%%"""
,S1_19776c6c,Попался...,,,,,,"S1 ""%%"""
,narrator_3eb621a5,"Королева Клинков приготовилась к поимке добычи, сосредоточив все свои силы на скорости движения. Стуков не успел заметить, как девушка за мгновение оказалась вплотную к нему.",,,,,,"""%%"""
,A_a3c0b1f9,Что за...,,,,,,"A ""%%"""
,A_6c772a6d,Воу...,,,,,,"A ""%%"""
,narrator_cb958f37,"Девушка была слегка разочарована тем, что ей попался мутированный терран, но желание утолить голод заставляло брать то, что дают.",,,,,,"""%%"""
,narrator_1c27ed18,"Королева Клинков стала принюхиваться к мужчине, ощущая странный запах.",,,,,,"""%%"""
,S1_702937cc,"(Пахнет... Как будто кто-то умер. И достаточно давно. Но не так чтобы сильно, поэтому он может быть съедобным.)",,,,,,"S1 ""%%"""
,S1_25a40303,"(Могло быть и хуже. Посмотрим, что с его помощью можно будет получить.)",,,,,,"S1 ""%%"""
,narrator_be5cbe08,Королева клинков ухмыльнулась и ловко язычком облизала губы своей жертвы.,,,,,,"""%%"""
,S1_6e9e9bcd,(Обычно я так быстро не приступаю к самому главному... но сейчас у меня нет сил...),,,,,,"S1 ""%%"""
,A_c61cc45d,Ты уже выбралась?,,,,,,"A ""%%"""
,S1_2610e968,"Я? Зачем задавать такие странные вопросы? Если я стою перед тобой – значит, выбралась.",,,,,,"S1 ""%%"""
,narrator_f3981c6b,"Стуков с интересом осматривал новое тело, по его мнению, Сары. Но он четко мог заметить, что она немного не в себе. Ее выдавал помутненный взгляд, которым она хищно осматривала мужчину.",,,,,,"""%%"""
,A_ff8cec84,"Не ожидал увидеть тебя в таком виде, хе-хе. Видимо, эксперименты пошли тебе на пользу.",,,,,,"A ""%%"""
